"articlenumber_value","price","special_price","releasedate"
"AK1765","49",,"2016-01-02 00:00:00"
"AK1794","25",,"2016-01-02 00:00:00"
"AK1795","25",,"2016-01-02 00:00:00"
"AK1796","25",,"2016-01-02 00:00:00"
"AK1798","25",,"2016-01-01 00:00:00"
"AK1801","79",,"2016-01-02 00:00:00"
"AK1822","39",,"2016-01-02 00:00:00"
"AK1823","39",,"2016-01-02 00:00:00"
"AK1824","79",,"2016-01-02 00:00:00"
"AK1906","39",,"2016-01-02 00:00:00"
"AK1907","79",,"2016-01-02 00:00:00"
"AK1945","69",,"2016-01-02 00:00:00"
"AK1959","29",,"2016-01-02 00:00:00"
"AK2036","29",,"2016-01-02 00:00:00"
"AK2066","29",,"2016-01-02 00:00:00"
"AK2094","65",,"2016-01-02 00:00:00"
"AK2146","45",,"2016-01-01 00:00:00"
"AK2259","39",,"2016-01-01 00:00:00"
"AK2366","49",,"2016-01-02 00:00:00"
"AK2368","49",,"2016-01-02 00:00:00"
"AK2370","39",,"2016-01-02 00:00:00"
"AK2472","45",,"2016-01-02 00:00:00"
"AK2473","45",,"2016-01-02 00:00:00"
"AK2518","39",,"2016-01-01 00:00:00"
"AK2563","55",,"2016-01-02 00:00:00"
"AK2658","35",,"2016-01-01 00:00:00"
"AK2661","35",,"2016-01-02 00:00:00"
"AK2662","35",,"2016-01-02 00:00:00"
"AK2684","79",,"2016-01-02 00:00:00"
"AK2700","35",,"2016-01-02 00:00:00"
"AK2701","35",,"2016-01-02 00:00:00"
"AK2709","29",,"2016-01-02 00:00:00"
"AK2749","59",,"2016-01-01 00:00:00"
"AK2779","59",,"2016-01-02 00:00:00"
"AN9907","65",,"2016-01-02 00:00:00"
"AN9959","29",,"2016-01-01 00:00:00"
"AO0020","49",,"2016-01-02 00:00:00"
"AO0515","19",,"2016-01-01 00:00:00"
"AO0517","19",,"2016-01-01 00:00:00"
"AO0537","109",,"2016-01-02 00:00:00"
"AO1474","119",,"2016-01-02 00:00:00"
"AO1585","79",,"2016-01-02 00:00:00"
"AO2289","59",,"2016-15-01 00:00:00"
"AO2296","39",,"2016-01-02 00:00:00"
"AO2532","25",,"2016-01-02 00:00:00"
"AO2533","25",,"2016-01-02 00:00:00"
