2016-12-20 13:47:39,414 [DEBUG] org.apache.http.wire  - http-outgoing-4 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
2016-12-20 13:47:39,414 [DEBUG] org.apache.http.wire  - http-outgoing-4 >> "Content-Length: 2[\r][\n]"
2016-12-20 13:47:39,414 [DEBUG] org.apache.http.wire  - http-outgoing-4 >> "Host: localhost:17250[\r][\n]"
2016-12-20 13:47:39,414 [DEBUG] org.apache.http.wire  - http-outgoing-4 >> "Connection: Keep-Alive[\r][\n]"
2016-12-20 13:47:39,414 [DEBUG] org.apache.http.wire  - http-outgoing-4 >> "User-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_51)[\r][\n]"
2016-12-20 13:47:39,414 [DEBUG] org.apache.http.wire  - http-outgoing-4 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2016-12-20 13:47:39,414 [DEBUG] org.apache.http.wire  - http-outgoing-4 >> "[\r][\n]"
2016-12-20 13:47:39,414 [DEBUG] org.apache.http.wire  - http-outgoing-4 >> "{}"
2016-12-20 13:47:39,418 [DEBUG] org.apache.http.wire  - http-outgoing-4 << "HTTP/1.1 200 OK[\r][\n]"
2016-12-20 13:47:39,418 [DEBUG] org.apache.http.wire  - http-outgoing-4 << "Content-Length: 2[\r][\n]"
